err sys SYSTEM LOG:
  1. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:17:37  # Sonos System - Error Getting Favorites.
  2. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:18:18  # Sonos System - Error Getting Favorites.
  3. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:18:59  # Sonos System - Error Getting Favorites.
  4. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:19:41  # Sonos System - Error Getting Favorites.
  5. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:20:22  # Sonos System - Error Getting Favorites.
  6. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:21:03  # Sonos System - Error Getting Favorites.
  7. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:21:44  # Sonos System - Error Getting Favorites.
  8. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:22:25  # Sonos System - Error Getting Favorites.
  9. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:23:06  # Sonos System - Error Getting Favorites.
 10. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:23:47  # Sonos System - Error Getting Favorites.
 11. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:24:28  # Sonos System - Error Getting Favorites.
 12. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:25:09  # Sonos System - Error Getting Favorites.
 13. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:25:50  # Sonos System - Error Getting Favorites.
 14. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:26:31  # Sonos System - Error Getting Favorites.
 15. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:27:12  # Sonos System - Error Getting Favorites.
 16. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:27:53  # Sonos System - Error Getting Favorites.
 17. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:28:34  # Sonos System - Error Getting Favorites.
 18. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:29:15  # Sonos System - Error Getting Favorites.
 19. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:29:56  # Sonos System - Error Getting Favorites.
 20. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:30:37  # Sonos System - Error Getting Favorites.
 21. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:31:18  # Sonos System - Error Getting Favorites.
 22. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:31:59  # Sonos System - Error Getting Favorites.
 23. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:32:40  # Sonos System - Error Getting Favorites.
 24. Error: splusmanagerapp.exe [App 1] # 2017-01-29 09:33:21  # Sonos System - Error Getting Favorites.
